"Data","Ora","Azione","Stazione","Elett.","Minuti","Consumo"
"<nobr>03/04/2017</nobr>","<nobr>12:55:51</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>03/04/2017</nobr>","<nobr>12:50:57</nobr>","<nobr>12</nobr>","<nobr>Stazione FF.SS.</nobr>","","",""
"<nobr>30/03/2017</nobr>","<nobr>17:44:43</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>4</nobr>","<nobr>0,00</nobr>"
"<nobr>30/03/2017</nobr>","<nobr>17:40:57</nobr>","<nobr>12</nobr>","<nobr>Mart</nobr>","","",""
"<nobr>30/03/2017</nobr>","<nobr>10:38:05</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>30/03/2017</nobr>","<nobr>02:21:44</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>30/03/2017</nobr>","<nobr>02:16:36</nobr>","<nobr>12</nobr>","<nobr>Municipio</nobr>","","",""
"<nobr>28/03/2017</nobr>","<nobr>12:33:52</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>2</nobr>","<nobr>0,00</nobr>"
"<nobr>28/03/2017</nobr>","<nobr>12:31:48</nobr>","<nobr>12</nobr>","<nobr>Via Paoli</nobr>","","",""
"<nobr>28/03/2017</nobr>","<nobr>09:00:27</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>3</nobr>","<nobr>0,00</nobr>"
"<nobr>28/03/2017</nobr>","<nobr>08:57:10</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>27/03/2017</nobr>","<nobr>18:06:35</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>9</nobr>","<nobr>0,00</nobr>"
